description,category,amount,timestamp
Train ticket,Entertainment,28.42,2022-09-09 13:28:36
Train ticket,Travel,142.71,2024-07-31 17:22:53
Electricity bill,Shopping,85.5,2023-04-30 12:17:01
Dinner at restaurant,Fitness,113.0,2023-07-10 04:27:43
Electricity bill,Shopping,295.92,2024-06-14 12:53:32
Coffee,Travel,64.09,2023-02-05 09:29:42
Clothing purchase,Shopping,292.23,2024-06-24 10:01:39
Subscription,Transportation,166.9,2023-11-26 03:53:47
Electricity bill,Food,200.22,2023-12-18 05:54:23
Online course,Food,127.62,2024-03-09 21:38:39
Groceries,Fitness,246.08,2023-09-02 20:50:33
Uber ride,Food,40.58,2022-11-04 10:19:50
Groceries,Entertainment,218.03,2023-11-20 00:24:00
Coffee,Fitness,104.26,2022-12-19 13:22:00
Car repair,Transportation,220.94,2023-08-10 03:54:26
Gas @ Chevron,Entertainment,157.68,2022-10-13 01:42:44
Amazon,,227.68,2024-03-03 10:39:03
Substack sub,Food,134.62,2023-04-24 05:47:55
Gym membership,Utilities,258.93,2023-05-19 10:33:10
Subscription,Health,192.67,2023-12-18 02:18:02
Train ticket,Shopping,28.85,2024-03-05 17:07:31
Groceries,Entertainment,109.36,2024-06-08 07:12:17
Movie ticket,Transportation,274.46,2024-03-22 20:09:40
Concert ticket,Transportation,275.66,2023-08-06 20:38:55
Substack sub,Health,228.42,2023-07-02 04:23:58
Dinner at restaurant,Food,56.51,2022-10-09 09:50:04
Movie ticket,Fitness,290.75,2022-10-30 18:56:42
Dinner at restaurant,Utilities,215.19,2024-06-25 20:24:38
Flight ticket,Shopping,260.76,2023-02-12 09:47:37
Flight ticket,Entertainment,262.17,2024-08-02 13:48:07
Groceries,Fitness,82.17,2024-05-25 19:54:46
Subscription,Fitness,243.73,2023-02-21 11:56:35
Concert ticket,Entertainment,290.3,2025-01-31 23:03:17
Uber ride,Fitness,293.34,2023-06-29 10:33:23
Coffee,Entertainment,282.55,2023-09-14 11:08:50
Pharmacy purchase,Food,156.51,2022-05-27 17:24:57
Car repair,Shopping,120.39,2023-06-15 02:49:06
Amazon,,137.36,2022-06-24 13:26:29
Flight ticket,Health,177.84,2022-10-03 09:20:14
Online course,Utilities,163.93,2022-08-19 07:10:41
Online course,Food,71.73,2022-08-15 11:05:52
Online course,Transportation,112.79,2022-12-06 02:34:16
Car repair,Food,181.78,2023-03-24 12:50:00
Coffee,Entertainment,203.12,2024-11-24 07:12:20
Clothing purchase,Health,65.01,2023-08-21 15:52:27
Movie ticket,Fitness,115.35,2024-04-23 17:13:56
Amazon,,296.07,2022-11-30 03:02:08
Car repair,Fitness,23.72,2025-02-21 08:06:24
Online course,Shopping,189.64,2023-04-20 09:09:10
Flight ticket,Food,115.3,2024-12-09 07:59:20
Online course,Fitness,269.0,2023-03-22 05:15:05
Coffee,Food,58.78,2022-04-28 21:26:29
Concert ticket,Health,248.87,2025-03-17 05:49:07
Uber ride,Transportation,76.31,2025-02-23 07:08:26
Amazon,,132.24,2023-09-21 18:12:20
Amazon,,196.75,2023-11-24 19:28:14
Online course,Health,7.52,2023-12-15 13:35:41
Gas @ Chevron,Entertainment,252.16,2022-11-20 13:45:35
Concert ticket,Travel,106.17,2023-09-18 09:04:41
Uber ride,Fitness,34.29,2024-11-21 02:48:30
Online course,Health,5.91,2022-10-27 07:59:06
Coffee,Food,244.47,2023-03-31 18:41:50
Flight ticket,Health,149.52,2024-01-25 06:12:06
Pharmacy purchase,Shopping,242.2,2023-12-26 15:33:37
Dinner at restaurant,Entertainment,195.81,2024-10-09 21:27:34
Uber ride,Fitness,278.45,2022-06-17 09:49:48
Coffee,Fitness,139.91,2022-06-03 15:51:53
Airbnb stay,Entertainment,227.8,2023-01-12 17:52:45
Flight ticket,Health,172.02,2024-01-18 01:57:32
Clothing purchase,Food,246.31,2023-06-04 21:12:37
Online course,Transportation,135.71,2024-10-30 14:42:10
Movie ticket,Transportation,117.05,2023-10-14 00:32:46
Online course,Entertainment,249.37,2025-03-10 17:24:14
Uber ride,Shopping,19.65,2022-06-19 13:19:13
Dinner at restaurant,Shopping,61.6,2022-08-26 21:17:41
Dinner at restaurant,Health,98.12,2022-11-16 12:48:51
Gas @ Chevron,Entertainment,128.07,2023-10-20 01:42:23
Concert ticket,Entertainment,40.29,2022-12-04 04:19:26
Train ticket,Travel,161.3,2024-01-23 16:28:19
Groceries,Food,255.83,2023-11-26 17:24:52
Substack sub,Travel,24.41,2024-08-29 10:04:50
Car repair,Health,25.71,2022-09-26 11:28:01
Car repair,Health,75.15,2024-11-07 18:51:47
Train ticket,Food,90.33,2023-07-22 09:39:01
Uber ride,Entertainment,132.11,2022-08-29 06:42:04
Movie ticket,Utilities,144.94,2022-08-14 17:04:30
Clothing purchase,Shopping,92.96,2023-02-06 20:17:10
Train ticket,Utilities,168.61,2023-08-03 13:15:15
Movie ticket,Food,150.03,2022-05-10 03:03:20
Movie ticket,Fitness,57.55,2025-01-28 18:10:28
Pharmacy purchase,Food,171.1,2023-01-29 21:10:03
Gym membership,Health,94.55,2024-07-06 17:03:50
Online course,Health,111.66,2024-05-22 17:51:36
Electricity bill,Shopping,70.8,2024-06-11 00:21:17
Gas @ Chevron,Health,15.74,2022-12-03 01:44:49
Flight ticket,Travel,38.38,2024-10-03 15:43:50
Substack sub,Entertainment,194.8,2024-05-04 03:57:31
Subscription,Travel,122.12,2022-11-25 17:17:49
Gym membership,Food,220.82,2024-03-14 21:42:13
Amazon,,159.6,2023-05-09 05:02:44
Coffee,Travel,118.82,2025-01-12 01:30:33
Movie ticket,Shopping,182.27,2024-12-07 01:28:16
Uber ride,Fitness,164.4,2024-12-11 19:00:09
Flight ticket,Entertainment,10.5,2022-05-02 21:30:15
Pharmacy purchase,Travel,83.61,2025-03-12 20:35:34
Pharmacy purchase,Shopping,23.29,2023-08-10 02:09:02
Subscription,Shopping,119.77,2024-06-27 05:43:03
Groceries,Shopping,294.42,2025-03-12 22:16:10
Electricity bill,Health,200.15,2022-05-06 11:44:17
Clothing purchase,Transportation,173.94,2023-08-08 15:59:55
Online course,Transportation,67.69,2023-04-29 13:09:57
Car repair,Travel,228.4,2025-03-13 03:48:35
Online course,Utilities,123.91,2023-03-22 03:39:42
Dinner at restaurant,Shopping,294.06,2025-03-15 10:52:22
Car repair,Shopping,62.73,2023-11-24 11:41:11
Concert ticket,Food,16.45,2022-11-01 01:58:35
Concert ticket,Shopping,251.39,2022-12-21 23:29:43
Subscription,Travel,56.04,2023-07-19 21:51:51
Gas @ Chevron,Health,28.91,2022-05-18 21:51:54
Clothing purchase,Food,86.33,2022-08-10 17:26:18
Subscription,Shopping,220.72,2022-09-01 08:45:48
Uber ride,Food,272.65,2024-04-10 09:04:26
Car repair,Travel,34.17,2023-11-09 23:09:09
Coffee,Travel,164.37,2025-04-07 18:31:43
Car repair,Transportation,270.19,2024-03-15 00:19:16
Uber ride,Shopping,177.01,2025-01-10 05:55:23
Substack sub,Entertainment,218.39,2022-07-15 01:47:53
Amazon,,133.44,2025-01-06 23:46:40
Online course,Entertainment,72.46,2023-09-05 14:47:17
Clothing purchase,Transportation,19.3,2023-03-05 19:22:31
Pharmacy purchase,Utilities,86.29,2024-11-10 04:07:14
Concert ticket,Transportation,65.05,2024-04-07 16:33:07
Gym membership,Travel,211.33,2024-03-18 12:11:12
Online course,Shopping,185.02,2024-09-11 21:55:42
Amazon,,58.44,2023-05-21 10:24:54
Airbnb stay,Shopping,13.16,2023-12-16 16:50:18
Concert ticket,Food,92.37,2023-04-02 18:51:09
Groceries,Entertainment,179.2,2022-09-13 19:28:04
Online course,Shopping,79.89,2023-11-27 09:14:10
Electricity bill,Fitness,55.34,2024-09-17 22:41:46
Electricity bill,Fitness,169.81,2023-11-30 12:45:07
Train ticket,Shopping,82.2,2022-06-22 12:35:47
Gas @ Chevron,Shopping,187.79,2023-08-11 20:58:42
Gas @ Chevron,Shopping,103.88,2022-11-30 10:22:48
Gas @ Chevron,Utilities,29.83,2024-08-11 19:43:30
Online course,Travel,36.09,2023-09-23 23:23:42
Concert ticket,Transportation,241.41,2024-12-30 10:34:53
Substack sub,Utilities,150.92,2023-11-02 03:13:49
Airbnb stay,Utilities,289.26,2024-11-27 19:31:25
Airbnb stay,Shopping,142.68,2022-10-29 09:40:36
Subscription,Utilities,5.4,2023-10-22 10:22:30
Subscription,Utilities,47.21,2024-11-19 16:45:30
Uber ride,Transportation,145.54,2024-03-14 12:39:35
Train ticket,Fitness,127.48,2022-04-29 20:15:27
Pharmacy purchase,Utilities,4.38,2022-05-05 01:08:56
Substack sub,Entertainment,207.2,2024-09-07 03:28:42
Clothing purchase,Utilities,125.34,2023-05-30 08:35:17
Concert ticket,Utilities,256.05,2022-12-26 16:59:17
Electricity bill,Travel,135.96,2024-05-26 02:04:53
Gym membership,Travel,86.32,2023-07-05 07:02:57
Car repair,Transportation,76.68,2024-10-28 23:43:30
Uber ride,Travel,110.35,2022-08-11 09:03:47
Train ticket,Travel,295.15,2024-01-12 08:02:19
Clothing purchase,Utilities,8.48,2023-09-09 14:26:18
Groceries,Transportation,195.5,2025-04-08 12:33:44
Car repair,Food,6.85,2022-11-03 21:55:33
Online course,Health,84.4,2022-06-10 04:37:30
Uber ride,Fitness,244.9,2023-03-22 06:30:27
Coffee,Health,74.65,2023-11-20 06:16:56
Substack sub,Shopping,102.21,2023-03-18 00:01:11
Clothing purchase,Health,216.03,2024-08-04 08:24:11
Car repair,Shopping,241.04,2022-07-10 14:24:29
Clothing purchase,Shopping,268.8,2024-05-30 11:02:33
Uber ride,Health,170.48,2023-03-03 13:49:20
Uber ride,Shopping,291.19,2023-11-17 22:23:21
Coffee,Travel,122.48,2022-12-05 20:09:29
Subscription,Health,135.78,2024-01-26 20:31:01
Electricity bill,Shopping,34.17,2023-03-24 20:17:05
Movie ticket,Entertainment,15.1,2023-04-01 01:18:36
Airbnb stay,Food,39.59,2024-09-04 14:29:52
Gym membership,Entertainment,270.83,2023-01-01 05:34:16
Groceries,Transportation,209.57,2025-01-13 10:02:05
Airbnb stay,Health,100.35,2022-10-29 03:59:01
Groceries,Shopping,291.7,2024-05-03 10:32:50
Car repair,Transportation,216.65,2025-01-22 02:44:15
Gym membership,Entertainment,57.0,2022-06-03 20:57:58
Gas @ Chevron,Fitness,227.24,2024-10-22 07:35:06
Airbnb stay,Transportation,171.14,2023-11-26 19:41:54
Uber ride,Travel,203.1,2024-01-04 06:37:15
Substack sub,Health,272.12,2023-01-17 03:23:38
Pharmacy purchase,Transportation,152.32,2023-03-21 14:23:01
Concert ticket,Transportation,257.73,2023-09-08 00:58:43
Airbnb stay,Shopping,273.87,2023-12-05 21:04:27
Pharmacy purchase,Food,217.0,2022-11-05 07:13:08
Dinner at restaurant,Utilities,53.95,2022-12-18 02:05:48
Online course,Shopping,43.51,2024-09-29 06:07:18
Electricity bill,Travel,92.13,2024-12-26 13:59:12
Concert ticket,Shopping,56.96,2022-12-25 17:30:02
Subscription,Utilities,151.02,2024-04-25 00:30:34
Train ticket,Travel,107.12,2023-10-16 20:50:12
Dinner at restaurant,Transportation,89.6,2023-11-02 11:35:30
Dinner at restaurant,Shopping,147.11,2023-07-03 17:17:38
Coffee,Fitness,281.3,2022-11-11 00:08:15
Train ticket,Shopping,95.46,2022-12-04 04:52:07
Gas @ Chevron,Entertainment,122.57,2022-07-04 09:02:42
Movie ticket,Health,108.38,2024-02-09 10:37:45
Airbnb stay,Utilities,78.23,2022-05-04 17:32:27
Online course,Entertainment,118.74,2023-03-23 10:52:52
Gas @ Chevron,Food,37.77,2024-06-13 11:02:48
Groceries,Entertainment,71.88,2022-09-21 21:57:08
Subscription,Health,252.79,2023-03-10 01:56:16
Train ticket,Transportation,292.83,2022-07-04 23:19:43
Online course,Transportation,211.19,2023-02-18 21:37:20
Movie ticket,Health,95.96,2023-09-03 22:18:10
Online course,Transportation,77.62,2025-01-18 04:46:27
Pharmacy purchase,Travel,143.06,2024-08-07 23:53:39
Concert ticket,Shopping,237.74,2024-10-20 23:21:12
Electricity bill,Shopping,90.19,2024-04-26 15:15:47
Substack sub,Utilities,188.64,2024-07-16 06:25:10
Electricity bill,Fitness,88.17,2023-05-26 21:04:27
Gas @ Chevron,Travel,12.56,2024-11-22 10:33:29
Coffee,Transportation,116.05,2024-02-05 04:22:24
Uber ride,Transportation,148.65,2024-11-01 21:30:22
Car repair,Shopping,204.81,2023-06-19 07:04:03
Pharmacy purchase,Entertainment,286.83,2022-08-11 19:29:17
Concert ticket,Fitness,95.61,2023-07-06 03:29:14
Uber ride,Travel,41.3,2023-07-22 20:13:36
Pharmacy purchase,Shopping,170.0,2023-12-30 17:12:21
Concert ticket,Fitness,137.36,2023-05-06 04:49:20
Car repair,Health,169.98,2025-03-06 09:21:03
Groceries,Food,158.35,2024-10-23 09:40:10
Concert ticket,Fitness,116.54,2022-10-20 18:27:43
Airbnb stay,Transportation,183.48,2023-01-04 18:11:13
Coffee,Health,13.39,2024-01-01 11:00:16
Pharmacy purchase,Health,17.09,2024-03-26 11:43:25
Car repair,Fitness,143.17,2023-10-01 10:54:21
Car repair,Entertainment,276.01,2024-10-20 05:45:42
Clothing purchase,Fitness,279.96,2022-12-29 09:37:13
Gas @ Chevron,Transportation,275.97,2024-05-04 12:03:52
Gym membership,Transportation,126.65,2023-02-24 16:34:21
Clothing purchase,Transportation,136.99,2023-06-20 11:43:57
Car repair,Health,23.92,2022-11-23 08:24:14
Clothing purchase,Utilities,203.44,2022-07-03 13:43:56
Substack sub,Entertainment,142.17,2022-08-23 09:53:44
Dinner at restaurant,Travel,86.36,2022-11-24 11:36:55
Car repair,Shopping,172.03,2023-01-25 22:54:42
Train ticket,Utilities,152.27,2023-10-04 08:39:37
Groceries,Food,209.12,2024-09-29 18:16:41
Uber ride,Travel,16.59,2023-08-18 06:50:02
Uber ride,Travel,253.79,2025-04-04 07:59:23
Subscription,Entertainment,42.99,2025-04-02 23:13:26
Substack sub,Shopping,242.58,2023-11-23 20:10:12
Flight ticket,Utilities,38.7,2022-04-17 08:29:00
Uber ride,Transportation,287.89,2023-06-19 19:38:32
Movie ticket,Transportation,175.26,2022-10-17 06:36:17
Airbnb stay,Fitness,50.94,2023-03-14 07:21:44
Electricity bill,Fitness,194.59,2022-08-06 03:06:14
Airbnb stay,Shopping,191.67,2025-01-14 06:11:13
Gas @ Chevron,Utilities,135.88,2024-03-27 08:19:51
Flight ticket,Health,219.18,2023-11-11 09:38:45
Clothing purchase,Transportation,269.83,2024-04-30 03:15:33
Gas @ Chevron,Shopping,268.06,2023-10-03 05:06:13
Train ticket,Food,277.1,2024-07-23 23:19:29
Substack sub,Entertainment,230.6,2024-10-25 01:57:08
Concert ticket,Food,64.08,2023-02-23 06:01:59
Airbnb stay,Fitness,24.82,2024-11-15 00:27:52
Gym membership,Transportation,298.19,2025-04-08 01:47:48
Electricity bill,Entertainment,265.51,2024-08-21 03:29:45
Amazon,,267.57,2024-05-12 04:09:37
Coffee,Transportation,281.59,2024-12-12 08:37:23
Electricity bill,Shopping,9.38,2024-08-06 15:27:56
Dinner at restaurant,Fitness,229.87,2024-06-22 18:07:27
Movie ticket,Entertainment,12.78,2023-01-13 05:23:43
Dinner at restaurant,Travel,161.32,2022-05-03 19:48:36
Online course,Travel,109.8,2023-03-15 17:25:29
Coffee,Travel,220.42,2023-10-06 02:32:36
Airbnb stay,Health,197.48,2024-02-10 18:27:42
Train ticket,Transportation,171.6,2024-05-04 03:35:04
Substack sub,Fitness,288.23,2023-02-25 19:40:31
Online course,Travel,21.89,2022-11-15 06:15:08
Uber ride,Utilities,96.3,2023-06-09 15:19:38
Concert ticket,Utilities,281.61,2024-07-11 07:56:14
Car repair,Fitness,131.6,2023-06-23 23:02:19
Subscription,Utilities,210.6,2025-02-12 19:48:31
Pharmacy purchase,Health,238.9,2024-09-25 17:59:45
Electricity bill,Shopping,290.12,2023-11-28 21:40:52
Subscription,Health,167.92,2022-09-24 04:13:03
Amazon,,104.91,2023-11-28 07:28:17
Amazon,,34.66,2022-08-03 16:49:00
Flight ticket,Shopping,112.25,2022-08-05 13:50:40
Train ticket,Fitness,14.45,2023-07-30 23:04:02
Concert ticket,Shopping,32.37,2023-10-07 19:02:15
Dinner at restaurant,Fitness,284.85,2022-09-28 01:42:41
Train ticket,Food,69.84,2023-11-03 19:50:08
Gas @ Chevron,Fitness,294.02,2023-03-30 09:13:44
Gym membership,Food,125.33,2022-10-08 01:17:02
Flight ticket,Utilities,258.8,2023-05-09 18:34:59
Train ticket,Fitness,203.79,2023-08-27 01:39:02
Pharmacy purchase,Travel,197.22,2022-10-27 11:36:56
Dinner at restaurant,Health,240.87,2022-11-10 04:35:32
Flight ticket,Entertainment,106.79,2023-11-30 00:30:45
Groceries,Health,201.25,2024-11-26 04:09:18
Groceries,Entertainment,287.49,2023-01-07 22:04:17
Coffee,Utilities,130.66,2022-12-24 08:12:17
Dinner at restaurant,Transportation,218.6,2024-06-22 15:49:52
Amazon,,45.08,2023-04-06 02:40:15
Groceries,Health,288.66,2023-01-11 19:15:38
Concert ticket,Entertainment,188.78,2022-12-18 18:57:32
Gas @ Chevron,Food,93.9,2024-10-24 13:23:35
Pharmacy purchase,Transportation,292.14,2024-08-09 20:34:19
Amazon,,204.3,2022-07-23 04:21:29
Flight ticket,Transportation,93.22,2024-12-22 09:52:31
Dinner at restaurant,Shopping,211.65,2023-05-11 00:33:00
Airbnb stay,Fitness,75.77,2025-01-08 23:04:16
Groceries,Shopping,196.79,2024-01-16 04:27:53
Airbnb stay,Food,243.58,2022-05-28 15:32:32
Gas @ Chevron,Fitness,88.8,2023-01-19 04:32:58
Online course,Health,244.75,2024-06-25 01:00:35
Electricity bill,Transportation,297.55,2022-12-10 04:39:46
Online course,Fitness,256.4,2024-02-26 23:07:17
Clothing purchase,Food,3.08,2024-12-11 19:55:36
Amazon,,209.06,2022-08-26 07:18:56
Airbnb stay,Transportation,290.04,2023-11-10 03:06:54
Coffee,Entertainment,200.13,2023-01-01 21:52:12
Movie ticket,Food,239.75,2022-12-27 11:00:41
Online course,Utilities,35.85,2023-04-17 14:25:10
Groceries,Health,48.19,2023-10-30 19:11:27
Electricity bill,Food,238.25,2024-02-01 07:04:15
Substack sub,Travel,251.08,2023-07-17 12:24:38
Train ticket,Food,53.25,2022-05-02 11:10:27
Gas @ Chevron,Entertainment,273.95,2024-02-24 11:32:23
Amazon,,185.76,2023-03-25 15:04:04
Amazon,,241.67,2023-12-20 15:36:08
Car repair,Health,138.01,2024-09-08 01:22:10
Car repair,Utilities,152.99,2024-09-21 15:21:50
Electricity bill,Transportation,43.81,2023-06-15 21:45:51
Electricity bill,Shopping,3.44,2024-07-30 15:41:11
Clothing purchase,Fitness,96.38,2024-02-17 05:59:01
Flight ticket,Entertainment,266.9,2024-12-03 21:47:32
Online course,Shopping,41.05,2024-05-08 17:00:53
Airbnb stay,Fitness,92.72,2022-06-23 09:14:57
Coffee,Entertainment,237.62,2024-02-11 03:37:42
Pharmacy purchase,Transportation,251.72,2023-07-04 04:40:40
Airbnb stay,Food,78.19,2023-11-23 17:15:12
Train ticket,Fitness,13.15,2024-02-10 16:39:34
Gas @ Chevron,Shopping,293.97,2025-03-12 14:52:56
Amazon,,93.22,2023-07-21 16:21:30
Coffee,Transportation,237.76,2023-09-13 12:21:09
Subscription,Health,283.93,2025-03-13 05:42:50
Groceries,Health,125.58,2024-04-11 16:33:04
Amazon,,102.28,2023-04-23 15:13:14
Flight ticket,Health,284.55,2025-01-25 00:40:00
Electricity bill,Utilities,230.39,2022-07-30 22:09:43
Clothing purchase,Health,135.03,2023-08-16 05:57:28
Amazon,,193.24,2023-07-07 17:10:22
Uber ride,Shopping,277.32,2025-01-31 00:21:30
Car repair,Food,157.0,2022-06-02 22:15:41
Concert ticket,Health,261.15,2025-03-23 18:35:10
Coffee,Entertainment,99.99,2023-10-23 21:28:04
Electricity bill,Shopping,18.77,2024-08-22 08:47:29
Flight ticket,Shopping,120.63,2023-08-24 00:59:10
Subscription,Utilities,224.93,2022-05-23 21:10:25
Amazon,,54.06,2024-12-30 18:50:45
Coffee,Utilities,23.86,2024-03-06 08:19:45
Train ticket,Fitness,259.65,2023-01-15 12:41:45
Uber ride,Food,267.5,2023-12-15 08:36:40
Concert ticket,Entertainment,276.86,2022-04-22 15:03:16
Concert ticket,Shopping,71.86,2024-09-04 08:29:47
Subscription,Fitness,183.37,2024-04-30 20:25:42
Movie ticket,Health,262.06,2023-09-19 10:18:35
Clothing purchase,Shopping,243.57,2022-04-21 04:50:14
Gym membership,Utilities,167.41,2023-09-29 07:54:19
Gas @ Chevron,Shopping,241.86,2024-03-03 15:42:04
Concert ticket,Utilities,276.61,2022-05-05 15:56:45
Uber ride,Utilities,43.83,2024-05-26 02:03:34
Amazon,,243.39,2024-05-06 15:16:03
Car repair,Travel,100.72,2025-04-07 07:36:59
Dinner at restaurant,Entertainment,206.38,2022-07-18 22:50:53
Clothing purchase,Travel,93.69,2024-08-04 12:37:53
Gas @ Chevron,Shopping,272.25,2024-09-29 12:12:59
Uber ride,Utilities,167.79,2024-11-14 08:24:06
Movie ticket,Health,64.24,2024-07-14 04:54:46
Gas @ Chevron,Shopping,217.13,2024-10-13 21:18:56
Gym membership,Shopping,104.98,2022-07-05 03:40:47
